state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_SC,total_population_male_SC,total_population_female_SC,total_population_ST,total_population_male_ST,total_population_female_ST,area_hectare,govt_pre_primary_school_UKG,pvt_pre_primary_school_UKG,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_science_degree_college,pvt_art_science_degree_college,govt_engineering_college,pvt_engineering_college,govt_medicine_college,pvt_medicine_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_vocational_ITI_training,pvt_vocational_ITI_training,govt_non_formal_training_centre,pvt_non_formal_training_centre,govt_disabled_school,pvt_disabled_school,govt_other_education,pvt_other_education
27.0,Maharashtra,525.0,Osmanabad,296494.0,1376519.0,716237.0,660282.0,221325.0,113813.0,107512.0,30007.0,15426.0,14581.0,772550.4500000003,1686.0,1.0,1331.0,38.0,783.0,23.0,287.0,55.0,89.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,2.0,0.0,0.0,203.0
27.0,Maharashtra,526.0,Solapur,593560.0,2918665.0,1518343.0,1400322.0,443181.0,227928.0,215253.0,49731.0,25648.0,24083.0,1540844.880000002,3637.0,10.0,3103.0,104.0,1375.0,95.0,535.0,142.0,232.0,35.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,13.0,0.0,0.0,3.0,0.0,0.0,198.0
27.0,Maharashtra,527.0,Satara,528587.0,2433363.0,1219749.0,1213614.0,247575.0,123808.0,123767.0,22463.0,11500.0,10963.0,1078444.1099999985,3529.0,7.0,2960.0,96.0,1262.0,72.0,480.0,76.0,159.0,10.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,0.0,0.0,7.0,0.0,0.0,185.0
27.0,Maharashtra,528.0,Ratnagiri,335318.0,1351346.0,630213.0,721133.0,57524.0,27217.0,30307.0,18788.0,9577.0,9211.0,811329.1800000003,2384.0,7.0,2653.0,49.0,1142.0,25.0,284.0,31.0,59.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,10.0,0.0,0.0,8.0,0.0,0.0,201.0
27.0,Maharashtra,529.0,Sindhudurg,183201.0,742645.0,363268.0,379377.0,48709.0,23397.0,25312.0,6019.0,3061.0,2958.0,508523.3899999998,1282.0,5.0,1430.0,27.0,638.0,16.0,186.0,18.0,51.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,7.0,0.0,0.0,110.0
27.0,Maharashtra,530.0,Kolhapur,568519.0,2645992.0,1348815.0,1297177.0,355641.0,178623.0,177018.0,22318.0,11408.0,10910.0,753940.3800000001,3363.0,25.0,2408.0,133.0,1287.0,74.0,562.0,97.0,204.0,7.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,12.0,0.0,0.0,11.0,0.0,0.0,149.0
27.0,Maharashtra,531.0,Sangli,442436.0,2102786.0,1071124.0,1031662.0,252350.0,126946.0,125404.0,12820.0,6592.0,6228.0,851475.8200000002,2551.0,20.0,1992.0,85.0,940.0,51.0,417.0,77.0,170.0,12.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,557.0
28.0,ANDHRA PRADESH,532.0,Adilabad,473010.0,1980980.0,985303.0,995677.0,368490.0,182451.0,186039.0,463089.0,231551.0,231538.0,1454407.0,0.0,50.0,2884.0,573.0,733.0,121.0,378.0,39.0,47.0,11.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,533.0,Nizamabad,465538.0,1962963.0,958837.0,1004126.0,323425.0,155816.0,167609.0,185297.0,92056.0,93241.0,762430.0,0.0,224.0,1519.0,273.0,663.0,176.0,382.0,118.0,32.0,21.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,534.0,Karimnagar,743421.0,2825044.0,1401950.0,1423094.0,587484.0,291431.0,296053.0,92353.0,46204.0,46149.0,1083698.0,0.0,373.0,2352.0,486.0,1065.0,353.0,618.0,242.0,61.0,59.0,11.0,22.0,0.0,6.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
