state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_sc,total_population_male_sc,total_population_female_sc,total_population_st,total_population_male_st,total_population_female_st,area_km,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_degree_college,pvt_art_degree_college,govt_science_college,pvt_science_college,govt_commerce_college,pvt_commerce_college,govt_art_science_degree_college,pvt_art_science_degree_college,govt_art_commerce_degree_college,pvt_art_commerce_degree_college,govt_art_science_commerce_degree_college,pvt_art_science_commerce_degree_college,govt_law_degree_college,pvt_law_degree_college,govt_university,pvt_university,govt_other_degree_college,pvt_other_degree_college,govt_medical_college,pvt_medical_college,govt_engineering_college,pvt_engineering_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_disabled_school,pvt_disabled_school
32,kerala,597,kottayam,140397.0,565393,275616.0,289777.0,34549.0,16946.0,17603.0,2274.0,1124.0,1150.0,273.71,84.0,112.0,41.0,68.0,30.0,67.0,23.0,27.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,11.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,3.0,0.0,2.0,13.0
32,kerala,598,alappuzha,287342.0,1148146,548429.0,599717.0,89280.0,43242.0,46038.0,3613.0,1735.0,1878.0,550.11,136.0,144.0,94.0,88.0,67.0,56.0,32.0,32.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,9.0
32,kerala,599,pathanamthitta,35069.0,131613,61896.0,69717.0,12621.0,6158.0,6463.0,445.0,215.0,230.0,81.21000000000002,26.0,28.0,12.0,27.0,18.0,21.0,3.0,18.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0
32,kerala,600,kollam,292696.0,1187158,566281.0,620877.0,119789.0,58040.0,61749.0,2875.0,1374.0,1501.0,416.25,153.0,162.0,79.0,98.0,54.0,80.0,45.0,47.0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,4.0,4.0,4.0,2.0,1.0
32,kerala,601,thiruvananthapuram,446914.0,1771596,856814.0,914782.0,193060.0,93309.0,99751.0,6737.0,3265.0,3472.0,577.46,291.0,168.0,169.0,105.0,116.0,88.0,57.0,46.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,16.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,9.0,1.0,3.0,6.0,0.0,8.0,5.0
33,tamil nadu,602,thiruvallur,615252.0,2428395,1225600.0,1202795.0,369647.0,185177.0,184470.0,12199.0,6171.0,6028.0,537.6599999999999,265.0,219.0,157.0,169.0,96.0,134.0,67.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,0.0,12.0,0.0,17.0,4.0,3.0
33,tamil nadu,603,chennai,1154982.0,4646732,2335844.0,2310888.0,779667.0,389001.0,390666.0,10061.0,5207.0,4854.0,175.0,455.0,863.0,433.0,439.0,263.0,404.0,178.0,271.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,2.0,2.0,3.0,15.0,6.0,0.0,6.0,1.0,4.0,6.0,1.0,4.0,12.0,7.0,11.0,11.0
33,tamil nadu,604,kancheepuram,644880.0,2538336,1277979.0,1260357.0,397084.0,198544.0,198540.0,14153.0,7119.0,7034.0,664.5930000000001,353.0,503.0,254.0,267.0,160.0,239.0,86.0,153.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,40.0,3.0,20.0,0.0,16.0,11.0,11.0
33,tamil nadu,605,vellore,392575.0,1701987,844587.0,857400.0,312488.0,152951.0,159537.0,7940.0,3988.0,3952.0,543.9019999999998,436.0,342.0,242.0,127.0,141.0,117.0,106.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,7.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,1.0,10.0,1.0,9.0,4.0,11.0
33,tamil nadu,606,tiruvannamalai,116147.0,494945,246163.0,248782.0,71404.0,35158.0,36246.0,4179.0,2092.0,2087.0,174.32,128.0,125.0,82.0,48.0,56.0,36.0,41.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0
33,tamil nadu,607,viluppuram,121521.0,519088,259344.0,259744.0,90820.0,45225.0,45595.0,3489.0,1781.0,1708.0,201.34,86.0,78.0,54.0,70.0,34.0,57.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0
33,tamil nadu,608,salem,463944.0,1774122,898297.0,875825.0,261819.0,131459.0,130360.0,9136.0,4683.0,4453.0,675.59,358.0,257.0,188.0,117.0,110.0,102.0,77.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,5.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,4.0,3.0,2.0
33,tamil nadu,609,namakkal,192263.0,696125,348596.0,347529.0,101294.0,51025.0,50269.0,1733.0,892.0,841.0,300.5750000000001,131.0,62.0,70.0,43.0,40.0,33.0,34.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,11.0,0.0,7.0,3.0,1.0
33,tamil nadu,610,erode,334569.0,1157976,577475.0,580501.0,154167.0,76705.0,77462.0,1855.0,956.0,899.0,768.2900000000002,371.0,136.0,188.0,72.0,69.0,67.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,9.0,2.0,1.0,3.0,4.0
33,tamil nadu,611,the nilgiris,114632.0,435655,214234.0,221421.0,149125.0,73226.0,75899.0,10061.0,4924.0,5137.0,582.2900000000002,122.0,47.0,55.0,36.0,33.0,35.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0
33,tamil nadu,612,dindigul,209803.0,808040,402333.0,405707.0,141775.0,70370.0,71405.0,3543.0,1801.0,1742.0,562.7900000000002,168.0,91.0,57.0,61.0,38.0,53.0,27.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,4.0
33,tamil nadu,613,karur,118699.0,434517,215556.0,218961.0,68586.0,33660.0,34926.0,384.0,196.0,188.0,283.5,136.0,84.0,71.0,39.0,31.0,36.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0
33,tamil nadu,614,tiruchirappalli,341160.0,1338033,663732.0,674301.0,178859.0,88993.0,89866.0,4414.0,2243.0,2171.0,466.265,149.0,303.0,80.0,152.0,54.0,118.0,42.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,8.0,2.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,3.0,10.0,2.0,4.0,4.0,4.0
33,tamil nadu,615,perambalur,25298.0,97163,48231.0,48932.0,24785.0,12190.0,12595.0,428.0,206.0,222.0,83.66999999999999,17.0,13.0,9.0,9.0,5.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
33,tamil nadu,616,ariyalur,21187.0,83794,41450.0,42344.0,12460.0,6219.0,6241.0,776.0,377.0,399.0,53.31,19.0,19.0,5.0,12.0,5.0,11.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0
